Site,Transect,Species,cm,rugosity,Diff,COT,
Q,3,Porites rus,15,8.7,15,,
Q,3,Sand and rubble,362,,347,,
Q,3,Carbonate,381,,19,,
Q,3,Porites lobata,390,,9,,
Q,3,Carbonate,405,,15,,
Q,3,Sand and rubble,751,,346,,
Q,3,Carbonate,785,,34,,
Q,3,Porites rus,845,,60,,
Q,3,Carbonate,860,,15,,
Q,3,Porites lobata,951,,91,,
Q,3,Carbonate,992,,41,,
Q,3,Porites rus,995,,3,,
Q,3,Carbonate,1000,,5,,
Q,4,Porites lobata,38,8.8,38,,
Q,4,Carbonate,56,,18,,
Q,4,Porites cylindrica,81,,25,,
Q,4,Sand and rubble,142,,61,,
Q,4,Porites lobata,157,,15,,
Q,4,Sand and rubble,185,,28,,
Q,4,Carbonate,241,,56,,
Q,4,Macroalgae Red Amphiroa,252,,11,,
Q,4,Carbonate,305,,53,,
Q,4,Coralline algae,312,,7,,
Q,4,Carbonate,375,,63,,
Q,4,Macroalgae Red Amphiroa,397,,22,,
Q,4,Carbonate,431,,34,,
Q,4,Sand and rubble,462,,31,,
Q,4,Porites lobata,464,,2,,
Q,4,Carbonate,531,,67,,
Q,4,Sand and rubble,560,,29,,
Q,4,Carbonate,592,,32,,
Q,4,Goniopora lobata,605,,13,,
Q,4,Carbonate,695,,90,,
Q,4,Sand and rubble,751,,56,,
Q,4,Porites lobata,852,,101,,
Q,4,Sand and rubble,885,,33,,
Q,4,Porites lobata,912,,27,,
Q,4,Sand and rubble,1000,,88,,
Q,5,Porites lobata,21,8,21,,
Q,5,Sand and rubble,72,,51,,
Q,5,Carbonate,83,,11,,
Q,5,Sand and rubble,135,,52,,
Q,5,Porites lobata,152,,17,,
Q,5,Sand and rubble,184,,32,,
Q,5,Porites lobata,197,,13,,
Q,5,Sand and rubble,261,,64,,
Q,5,Porites lobata,265,,4,,
Q,5,Sand and rubble,310,,45,,
Q,5,Porites lobata,743,,433,,
Q,5,Carbonate,821,,78,,
Q,5,Porites lobata,831,,10,,
Q,5,Carbonate,912,,81,,
Q,5,Millepora tenella,945,,33,,
Q,5,Carbonate,981,,36,,
Q,5,Plerogyra,1000,,19,,
Q,6,Carbonate,21,8.6,21,,
Q,6,Porites lobata,172,,151,,
Q,6,Carbonate,175,,3,,
Q,6,Porites lobata,252,,77,,
Q,6,Macroalgae Red Amphiroa,263,,11,,
Q,6,Carbonate,261,,-2,,
Q,6,Porites rus,295,,34,,
Q,6,Carbonate,303,,8,,
Q,6,Porites rus,335,,32,,
Q,6,Carbonate,360,,25,,
Q,6,Porites lobata,365,,5,,
Q,6,Coralline algae,398,,33,,
Q,6,Carbonate,410,,12,,
Q,6,Pavona varians,420,,10,,
Q,6,Carbonate,452,,32,,
Q,6,Porites lobata,505,,53,,
Q,6,Carbonate,512,,7,,
Q,6,Porites lobata,563,,51,,
Q,6,Sand and rubble,592,,29,,
Q,6,Porites lobata,603,,11,,
Q,6,Carbonate,612,,9,,
Q,6,Sand and rubble,645,,33,,
Q,6,Porites cylindrica,653,,8,,
Q,6,Carbonate,691,,38,,
Q,6,Sand and rubble,754,,63,,
Q,6,Porites lobata,854,,100,,
Q,6,Carbonate,870,,16,,
Q,6,Turf algae,905,,35,,
Q,6,Carbonate,967,,62,,
Q,6,Porites lobata,1000,,33,,
I,1,Porites rus,22,7.9,22,,
I,1,Porites cylindrica,124,,102,,
I,1,Carbonate,135,,11,,
I,1,Porites cylindrica,281,,146,,
I,1,Carbonate,362,,81,,
I,1,Porites cylindrica,374,,12,,
I,1,Carbonate,381,,7,,
I,1,Porites cylindrica,392,,11,,
I,1,Carbonate,415,,23,,
I,1,Porites cylindrica,431,,16,,
I,1,Carbonate,435,,4,,
I,1,Porites cylindrica,462,,27,,
I,1,Carbonate,475,,13,,
I,1,Porites cylindrica,483,,8,,
I,1,Carbonate,512,,29,,
I,1,Goniopora lobata,515,,3,,
I,1,Carbonate,521,,6,,
I,1,Porites cylindrica,525,,4,,
I,1,Carbonate,551,,26,,
I,1,encrusting Sponge,565,,14,,
I,1,Carbonate,583,,18,,
I,1,Porites cylindrica,605,,22,,
I,1,Carbonate,622,,17,,
I,1,Porites cylindrica,655,,33,,
I,1,Carbonate,678,,23,,
I,1,Porites cylindrica,685,,7,,
I,1,Carbonate,702,,17,,
I,1,Porites cylindrica,725,,23,,
I,1,Sand and rubble,770,,45,,
I,1,Goniopora lobata,781,,11,,
I,1,Sand and rubble,830,,49,,
I,1,Porites cylindrica,902,,72,,
I,1,Carbonate,915,,13,,
I,1,Porites cylindrica,935,,20,,
I,1,Carbonate,953,,18,,
I,1,Porites cylindrica,1000,,47,,
I,2,Porites cylindrica,93,7.9,93,,
I,2,Carbonate,121,,28,,
I,2,Goniopora lobata,128,,7,,
I,2,Porites cylindrica,151,,23,,
I,2,encrusting Sponge,160,,9,,
I,2,Porites cylindrica,162,,2,,
I,2,Carbonate,172,,10,,
I,2,Porites cylindrica,175,,3,,
I,2,Carbonate,192,,17,,
I,2,Porites lobata,194,,2,,
I,2,Carbonate,230,,36,,
I,2,Porites cylindrica,275,,45,,
I,2,Carbonate,295,,20,,
I,2,Porites cylindrica,305,,10,,
I,2,Carbonate,357,,52,,
I,2,Porites cylindrica,371,,14,,
I,2,Sand and rubble,455,,84,,
I,2,Carbonate,495,,40,,
I,2,Porites rus,545,,50,,
I,2,Carbonate,649,,104,,
I,2,Porites lobata,651,,2,,
I,2,Carbonate,674,,23,,
I,2,Porites lobata,681,,7,,
I,2,Carbonate,701,,20,,
I,2,Porites cylindrica,715,,14,,
I,2,Carbonate,727,,12,,
I,2,Porites lobata,735,,8,,
I,2,Sand and rubble,751,,16,,
I,2,Porites cylindrica,762,,11,,
I,2,Carbonate,795,,33,,
I,2,Porites cylindrica,811,,16,,
I,2,Carbonate,821,,10,,
I,2,Porites cylindrica,840,,19,,
I,2,Carbonate,853,,13,,
I,2,Porites cylindrica,875,,22,,
I,2,Carbonate,902,,27,,
I,2,Porites cylindrica,972,,70,,
I,2,Macroalgae Red Padina,984,,12,,
I,2,Carbonate,1000,,16,,
I,3,Carbonate,64,5.9,64,,
I,3,Sand and rubble,92,,28,,
I,3,Goniopora lobata,95,,3,,
I,3,Sand and rubble,112,,17,,
I,3,Porites cylindrica,121,,9,,
I,3,Carbonate,141,,20,,
I,3,Porites cylindrica,157,,16,,
I,3,Carbonate,162,,5,,
I,3,Porites cylindrica,174,,12,,
I,3,Carbonate,202,,28,,
I,3,Porites cylindrica,287,,85,,
I,3,Carbonate,305,,18,,
I,3,Porites cylindrica,361,,56,,
I,3,Carbonate,402,,41,,
I,3,Porites cylindrica,409,,7,,
I,3,Carbonate,442,,33,,
I,3,Porites cylindrica,493,,51,,
I,3,Goniopora lobata,503,,10,,
I,3,Carbonate,508,,5,,
I,3,Sponge,512,,4,,
I,3,Goniopora lobata,520,,8,,
I,3,Porites cylindrica,524,,4,,
I,3,Carbonate,531,,7,,
I,3,Porites cylindrica,537,,6,,
I,3,Carbonate,568,,31,,
I,3,Porites cylindrica,569,,1,,
I,3,Carbonate,576,,7,,
I,3,Porites cylindrica,592,,16,,
I,3,Carbonate,602,,10,,
I,3,Porites cylindrica,605,,3,,
I,3,Carbonate,614,,9,,
I,3,Porites cylindrica,625,,11,,
I,3,Carbonate,670,,45,,
I,3,Sand and rubble,701,,31,,
I,3,Carbonate,719,,18,,
I,3,Porites cylindrica,735,,16,,
I,3,Carbonate,750,,15,,
I,3,Goniopora lobata,758,,8,,
I,3,Carbonate,795,,37,,
I,3,Sand and rubble,820,,25,,
I,3,Carbonate,844,,24,,
I,3,Porites cylindrica,867,,23,,
I,3,Turf algae,874,,7,,
I,3,Porites cylindrica,937,,63,,
I,3,Carbonate,951,,14,,
I,3,Sand and rubble,961,,10,,
I,3,Porites cylindrica,972,,11,,
I,3,Carbonate,995,,23,,
I,3,Porites cylindrica,1000,,5,,
I,4,Porites cylindrica,14,6,14,,
I,4,Carbonate,63,,49,,
I,4,Porites cylindrica,71,,8,,
I,4,Carbonate,76,,5,,
I,4,Porites cylindrica,95,,19,,
I,4,Carbonate,142,,47,,
I,4,Porites cylindrica,145,,3,,
I,4,Carbonate,165,,20,,
I,4,Porites cylindrica,172,,7,,
I,4,Carbonate,240,,68,,
I,4,Rubble,261,,21,,
I,4,Carbonate,295,,34,,
I,4,Porites cylindrica,297,,2,,
I,4,Carbonate,316,,19,,
I,4,Sand and rubble,330,,14,,
I,4,Carbonate,365,,35,,
I,4,encrusting Sponge,369,,4,,
I,4,Carbonate,395,,26,,
I,4,Porites cylindrica,418,,23,,
I,4,Carbonate,435,,17,,
I,4,Porites cylindrica,453,,18,,
I,4,Carbonate,475,,22,,
I,4,Porites cylindrica,484,,9,,
I,4,Carbonate,512,,28,,
I,4,Porites cylindrica,522,,10,,
I,4,Carbonate,566,,44,,
I,4,Porites cylindrica,582,,16,,
I,4,Carbonate,593,,11,,
I,4,Porites lobata,597,,4,,
I,4,Carbonate,604,,7,,
I,4,Porites cylindrica,651,,47,,
I,4,Carbonate,675,,24,,
I,4,Porites cylindrica,703,,28,,
I,4,Carbonate,755,,52,,
I,4,Porites cylindrica,763,,8,,
I,4,Carbonate,823,,60,,
I,4,Porites cylindrica,833,,10,,
I,4,Carbonate,837,,4,,
I,4,Macroalgae Chlorodesmis,841,,4,,
I,4,Carbonate,872,,31,,
I,4,Turf algae,875,,3,,
I,4,Porites lobata,884,,9,,
I,4,Carbonate,931,,47,,
I,4,Porites cylindrica,935,,4,,
I,4,Carbonate,945,,10,,
I,4,Porites cylindrica,984,,39,,
I,4,Carbonate,991,,7,,
I,4,Porites cylindrica,1000,,9,,
I,5,Porites cylindrica,49,7.1,49,,
I,5,Carbonate,62,,13,,
I,5,Porites cylindrica,65,,3,,
I,5,Carbonate,82,,17,,
I,5,Porites lobata,105,,23,,
I,5,Carbonate,110,,5,,
I,5,Porites lobata,113,,3,,
I,5,Carbonate,125,,12,,
I,5,Porites cylindrica,134,,9,,
I,5,Carbonate,145,,11,,
I,5,Porites cylindrica,151,,6,,
I,5,Carbonate,155,,4,,
I,5,Porites cylindrica,174,,19,,
I,5,Carbonate,183,,9,,
I,5,Porites cylindrica,235,,52,,
I,5,Carbonate,251,,16,,
I,5,Porites cylindrica,376,,125,,
I,5,Porites cylindrica,392,,16,,
I,5,Carbonate,451,,59,,
I,5,Porites cylindrica,453,,2,,
I,5,Carbonate,497,,44,,
I,5,Porites cylindrica,511,,14,,
I,5,Carbonate,522,,11,,
I,5,Porites cylindrica,535,,13,,
I,5,Carbonate,542,,7,,
I,5,Porites cylindrica,551,,9,,
I,5,Carbonate,565,,14,,
I,5,Porites cylindrica,585,,20,,
I,5,Sand and rubble,593,,8,,
I,5,Porites cylindrica,613,,20,,
I,5,Carbonate,617,,4,,
I,5,Porites cylindrica,639,,22,,
I,5,Carbonate,650,,11,,
I,5,Porites cylindrica,674,,24,,
I,5,Carbonate,685,,11,,
I,5,Porites cylindrica,694,,9,,
I,5,Carbonate,702,,8,,
I,5,Porites cylindrica,715,,13,,
I,5,Carbonate,725,,10,,
I,5,Porites cylindrica,741,,16,,
I,5,Carbonate,758,,17,,
I,5,Porites cylindrica,803,,45,,
I,5,Porites cylindrica,902,,99,,
I,5,Carbonate,915,,13,,
I,5,Porites cylindrica,965,,50,,
I,5,Carbonate,975,,10,,
I,5,Porites cylindrica,1000,,25,,
I,6,Porites rus,7,6.6,7,,
I,6,Carbonate,23,,16,,
I,6,Porites rus,39,,16,,
I,6,Carbonate,45,,6,,
I,6,Porites rus,55,,10,,
I,6,Sand and rubble,70,,15,,
I,6,Porites rus,72,,2,,
I,6,Sand and rubble,75,,3,,
I,6,Carbonate,82,,7,,
I,6,Porites rus,89,,7,,
I,6,Carbonate,95,,6,,
I,6,Macroalgae Chlorodesmis,98,,3,,
I,6,Porites rus,112,,14,,
I,6,Macroalgae Chlorodesmis,119,,7,,
I,6,Porites rus,131,,12,,
I,6,Carbonate,132,,1,,
I,6,Porites cylindrica,142,,10,,
I,6,Carbonate,144,,2,,
I,6,Porites cylindrica,165,,21,,
I,6,Carbonate,169,,4,,
I,6,Porites cylindrica,185,,16,,
I,6,Carbonate,203,,18,,
I,6,Porites cylindrica,285,,82,,
I,6,Carbonate,318,,33,,
I,6,Porites cylindrica,333,,15,,
I,6,Sand and rubble,341,,8,,
I,6,Porites cylindrica,354,,13,,
I,6,Carbonate,385,,31,,
I,6,Porites cylindrica,386,,1,,
I,6,Sand and rubble,392,,6,,
I,6,Carbonate,425,,33,,
I,6,Porites cylindrica,462,,37,,
I,6,Macroalgae Red Padina,466,,4,,
I,6,Porites cylindrica,484,,18,,
I,6,Carbonate,493,,9,,
I,6,Porites cylindrica,521,,28,,
I,6,Carbonate,537,,16,,
I,6,Porites cylindrica,541,,4,,
I,6,Carbonate,565,,24,,
I,6,Porites cylindrica,572,,7,,
I,6,Carbonate,585,,13,,
I,6,Porites cylindrica,591,,6,,
I,6,Carbonate,595,,4,,
I,6,Porites cylindrica,602,,7,,
I,6,Carbonate,615,,13,,
I,6,Porites rus,625,,10,,
I,6,Carbonate,650,,25,,
I,6,Porites cylindrica,672,,22,,
I,6,Carbonate,680,,8,,
I,6,Porites cylindrica,735,,55,,
I,6,Rubble,751,,16,,
I,6,Porites cylindrica,812,,61,,
I,6,Carbonate,821,,9,,
I,6,Rubble,842,,21,,
I,6,Porites cylindrica,853,,11,,
I,6,Rubble,855,,2,,
I,6,Porites cylindrica,893,,38,,
I,6,Sand and rubble,911,,18,,
I,6,Macroalgae Dictyota,915,,4,,
I,6,Porites cylindrica,920,,5,,
I,6,Diploastrea,1000,,80,,
O,1,Porites cylindrica,21,8.5,21,,
O,1,Macroalgae Dictyota,34,,13,,
O,1,Porites cylindrica,92,,58,,
O,1,Macroalgae Dictyota,110,,18,,
O,1,Carbonate,135,,25,,
O,1,Porites cylindrica,141,,6,,
O,1,Macroalgae Dictyota,145,,4,,
O,1,Porites cylindrica,160,,15,,
O,1,Macroalgae Dictyota,172,,12,,
O,1,Porites cylindrica,193,,21,,
O,1,Macroalgae Dictyota,212,,19,,
O,1,Carbonate,235,,23,,
O,1,Macroalgae Dictyota,265,,30,,
O,1,Porites rus,271,,6,,
O,1,Porites cylindrica,321,,50,,
O,1,Macroalgae Dictyota,341,,20,,
O,1,Porites cylindrica,403,,62,,
O,1,Macroalgae Dictyota,405,,2,,
O,1,Porites cylindrica,452,,47,,
O,1,Carbonate,455,,3,,
O,1,Macroalgae Dictyota,496,,41,,
O,1,Porites cylindrica,512,,16,,
O,1,Macroalgae Dictyota,573,,61,,
O,1,Porites cylindrica,732,,159,,
O,1,Macroalgae Dictyota,832,,100,,
O,1,Porites rus,841,,9,,
O,1,Macroalgae Dictyota,855,,14,,
O,1,Macroalgae Halimeda,863,,8,,
O,1,Porites rus,951,,88,,
O,1,Carbonate,962,,11,,
O,1,Porites rus,1000,,38,,
O,2,Porites rus,18,8.4,18,,
O,2,Carbonate,31,,13,,
O,2,Porites rus,34,,3,,
O,2,Porites cylindrica,42,,8,,
O,2,Macroalgae Red Amphiroa,45,,3,,
O,2,Porites rus,52,,7,,
O,2,Carbonate,55,,3,,
O,2,Porites rus,62,,7,,
O,2,Porites cylindrica,65,,3,,
O,2,Ctenactis,81,,16,,
O,2,Carbonate,125,,44,,
O,2,Porites cylindrica,135,,10,,
O,2,encrusting Sponge,142,,7,,
O,2,Porites rus,146,,4,,
O,2,Carbonate,159,,13,,
O,2,Macroalgae Dictyota,167,,8,,
O,2,Porites rus,185,,18,,
O,2,Carbonate,193,,8,,
O,2,Porites rus,199,,6,,
O,2,Carbonate,210,,11,,
O,2,Porites rus,221,,11,,
O,2,Carbonate,250,,29,,
O,2,Porites rus,258,,8,,
O,2,Carbonate,271,,13,,
O,2,Porites rus,273,,2,,
O,2,Macroalgae Red Amphiroa,288,,15,,
O,2,Porites rus,295,,7,,
O,2,Porites cylindrica,312,,17,,
O,2,Macroalgae Red Amphiroa,335,,23,,
O,2,Porites cylindrica,351,,16,,
O,2,Porites rus,374,,23,,
O,2,Porites cylindrica,382,,8,,
O,2,Porites rus,385,,3,,
O,2,Macroalgae Red Amphiroa,387,,2,,
O,2,Porites rus,415,,28,,
O,2,Carbonate,430,,15,,
O,2,Porites rus,434,,4,,
O,2,Carbonate,465,,31,,
O,2,Porites rus,467,,2,,
O,2,Carbonate,472,,5,,
O,2,Porites rus,475,,3,,
O,2,Carbonate,495,,20,,
O,2,Macroalgae Dictyota,512,,17,,
O,2,Carbonate,535,,23,,
O,2,Macroalgae Dictyota,542,,7,,
O,2,Porites rus,567,,25,,
O,2,Carbonate,581,,14,,
O,2,Porites rus,595,,14,,
O,2,Carbonate,685,,90,,
O,2,Porites rus,688,,3,,
O,2,Carbonate,725,,37,,
O,2,Porites rus,743,,18,,
O,2,Carbonate,752,,9,,
O,2,Porites rus,757,,5,,
O,2,Carbonate,764,,7,,
O,2,Porites cylindrica,780,,16,,
O,2,Carbonate,812,,32,,
O,2,Porites cylindrica,815,,3,,
O,2,Carbonate,852,,37,,
O,2,Porites rus,861,,9,,
O,2,Carbonate,867,,6,,
O,2,Porites rus,895,,28,,
O,2,Carbonate,915,,20,,
O,2,Macroalgae Dictyota,917,,2,,
O,2,Carbonate,930,,13,,
O,2,Porites rus,945,,15,,
O,2,Rubble,970,,25,,
O,2,Carbonate,975,,5,,
O,2,Porites cylindrica,985,,10,,
O,2,Carbonate,992,,7,,
O,2,Porites rus,1000,,8,,
O,3,Porites rus,29,,29,,
O,3,Carbonate,34,,5,,
O,3,Porites cylindrica,45,,11,,
O,3,Porites rus,73,,28,,
O,3,Carbonate,81,,8,,
O,3,Porites rus,98,,17,,
O,3,Porites cylindrica,104,,6,,
O,3,Carbonate,110,,6,,
O,3,Porites rus,115,,5,,
O,3,Carbonate,125,,10,,
O,3,Porites rus,155,,30,,
O,3,Carbonate,158,,3,,
O,3,Porites rus,184,,26,,
O,3,Carbonate,190,,6,,
O,3,Porites rus,203,,13,,
O,3,Carbonate,212,,9,,
O,3,Porites rus,235,,23,,
O,3,Carbonate,241,,6,,
O,3,Porites cylindrica,247,,6,,
O,3,Carbonate,324,,77,,
O,3,Porites rus,329,,5,,
O,3,Porites cylindrica,345,,16,,
O,3,Carbonate,437,,92,,
O,3,Porites cylindrica,441,,4,,
O,3,Macroalgae Dictyota,451,,10,,
O,3,Carbonate,471,,20,,
O,3,Porites cylindrica,473,,2,,
O,3,Padina,478,,5,,
O,3,Carbonate,485,,7,,
O,3,Porites rus,492,,7,,
O,3,Carbonate,495,,3,,
O,3,Porites cylindrica,498,,3,,
O,3,Carbonate,510,,12,,
O,3,Porites cylindrica,513,,3,,
O,3,Carbonate,515,,2,,
O,3,Porites rus,518,,3,,
O,3,Carbonate,524,,6,,
O,3,Porites cylindrica,529,,5,,
O,3,Carbonate,547,,18,,
O,3,Porites rus,562,,15,,
O,3,Carbonate,575,,13,,
O,3,Macroalgae Red Amphiroa,583,,8,,
O,3,Carbonate,598,,15,,
O,3,Porites cylindrica,615,,17,,
O,3,Porites rus,657,,42,,
O,3,Carbonate,662,,5,,
O,3,Porites rus,685,,23,,
O,3,Porites cylindrica,691,,6,,
O,3,Macroalgae Red Amphiroa,695,,4,,
O,3,Porites cylindrica,722,,27,,
O,3,Porites rus,741,,19,,
O,3,Macroalgae Red Amphiroa,745,,4,,
O,3,Carbonate,750,,5,,
O,3,Porites rus,764,,14,,
O,3,Porites cylindrica,765,,1,,
O,3,Porites rus,775,,10,,
O,3,Carbonate,805,,30,,
O,3,Porites rus,812,,7,,
O,3,Carbonate,815,,3,,
O,3,Porites cylindrica,818,,3,,
O,3,Carbonate,820,,2,,
O,3,Porites rus,825,,5,,
O,3,Carbonate,835,,10,,
O,3,Porites cylindrica,851,,16,,
O,3,Carbonate,855,,4,,
O,3,Porites cylindrica,862,,7,,
O,3,Carbonate,878,,16,,
O,3,Porites rus,881,,3,,
O,3,Carbonate,891,,10,,
O,3,Porites rus,915,,24,,
O,3,Macroalgae Red Amphiroa,921,,6,,
O,3,Carbonate,943,,22,,
O,3,Porites rus,945,,2,,
O,3,Carbonate,951,,6,,
O,3,Porites cylindrica,957,,6,,
O,3,Carbonate,965,,8,,
O,3,Porites cylindrica,968,,3,,
O,3,Porites rus,975,,7,,
O,3,Carbonate,1000,,25,,
O,4,Porites cylindrica,11,8.5,11,,
O,4,Carbonate,26,,15,,
O,4,Porites rus,45,,19,,
O,4,Carbonate,74,,29,,
O,4,Porites cylindrica,78,,4,,
O,4,Carbonate,89,,11,,
O,4,Porites cylindrica,103,,14,,
O,4,Porites rus,110,,7,,
O,4,Porites cylindrica,115,,5,,
O,4,Carbonate,130,,15,,
O,4,Porites cylindrica,135,,5,,
O,4,Porites rus,192,,57,,
O,4,Porites cylindrica,202,,10,,
O,4,Porites rus,225,,23,,
O,4,Porites cylindrica,235,,10,,
O,4,Porites rus,247,,12,,
O,4,Porites cylindrica,282,,35,,
O,4,Porites rus,302,,20,,
O,4,Porites cylindrica,305,,3,,
O,4,Porites rus,334,,29,,
O,4,Carbonate,337,,3,,
O,4,Porites rus,385,,48,,
O,4,Carbonate,407,,22,,
O,4,Porites rus,412,,5,,
O,4,Porites cylindrica,415,,3,,
O,4,Carbonate,432,,17,,
O,4,Porites rus,435,,3,,
O,4,Carbonate,445,,10,,
O,4,Porites rus,452,,7,,
O,4,Carbonate,471,,19,,
O,4,Porites rus,485,,14,,
O,4,Porites cylindrica,487,,2,,
O,4,Porites rus,502,,15,,
O,4,Carbonate,503,,1,,
O,4,Porites cylindrica,513,,10,,
O,4,Carbonate,517,,4,,
O,4,Porites rus,534,,17,,
O,4,Carbonate,541,,7,,
O,4,Porites rus,552,,11,,
O,4,Ascidian,557,,5,,
O,4,Porites rus,571,,14,,
O,4,Carbonate,614,,43,,
O,4,Porites rus,621,,7,,
O,4,Carbonate,624,,3,,
O,4,Porites rus,658,,34,,
O,4,Porites cylindrica,664,,6,,
O,4,Carbonate,677,,13,,
O,4,Porites rus,685,,8,,
O,4,Carbonate,695,,10,,
O,4,Porites rus,712,,17,,
O,4,Carbonate,725,,13,,
O,4,Porites rus,745,,20,,
O,4,Carbonate,763,,18,,
O,4,Porites rus,775,,12,,
O,4,Carbonate,801,,26,,
O,4,Porites rus,814,,13,,
O,4,Carbonate,835,,21,,
O,4,Porites rus,837,,2,,
O,4,Carbonate,842,,5,,
O,4,Porites rus,854,,12,,
O,4,Carbonate,865,,11,,
O,4,Porites rus,882,,17,,
O,4,Carbonate,893,,11,,
O,4,Porites rus,905,,12,,
O,4,Carbonate,917,,12,,
O,4,Porites rus,931,,14,,
O,4,Carbonate,960,,29,,
O,4,Porites rus,965,,5,,
O,4,Carbonate,1000,,35,,
O,5,Carbonate,28,8.1,28,,
O,5,Porites rus,68,,40,,
O,5,Porites cylindrica,91,,23,,
O,5,Porites rus,124,,33,,
O,5,Porites cylindrica,235,,111,,
O,5,Carbonate,251,,16,,
O,5,Porites cylindrica,276,,25,,
O,5,Carbonate,365,,89,,
O,5,Rubble,432,,67,,
O,5,Porites cylindrica,440,,8,,
O,5,Rubble,481,,41,,
O,5,Carbonate,535,,54,,
O,5,Porites cylindrica,550,,15,,
O,5,Carbonate,562,,12,,
O,5,Porites rus,571,,9,,
O,5,Porites cylindrica,615,,44,,
O,5,Porites rus,680,,65,,
O,5,Porites cylindrica,685,,5,,
O,5,Porites rus,692,,7,,
O,5,Porites cylindrica,703,,11,,
O,5,Porites rus,725,,22,,
O,5,Rubble,741,,16,,
O,5,Porites rus,784,,43,,
O,5,Porites cylindrica,793,,9,,
O,5,Carbonate,814,,21,,
O,5,Porites cylindrica,865,,51,,
O,5,Carbonate,903,,38,,
O,5,Porites rus,1000,,97,,
O,6,Porites cylindrica,24,8,24,,
O,6,Porites rus,32,,8,,
O,6,Porites cylindrica,52,,20,,
O,6,Porites rus,55,,3,,
O,6,Carbonate,61,,6,,
O,6,Porites rus,85,,24,,
O,6,Macroalgae Red Padina,90,,5,,
O,6,Porites cylindrica,95,,5,,
O,6,Porites cylindrica,124,,29,,
O,6,Carbonate,142,,18,,
O,6,Porites cylindrica,151,,9,,
O,6,Carbonate,158,,7,,
O,6,Porites cylindrica,175,,17,,
O,6,Carbonate,184,,9,,
O,6,Porites cylindrica,190,,6,,
O,6,Carbonate,215,,25,,
O,6,Porites cylindrica,279,,64,,
O,6,Porites rus,302,,23,,
O,6,Carbonate,305,,3,,
O,6,Porites rus,315,,10,,
O,6,Carbonate,330,,15,,
O,6,Porites cylindrica,335,,5,,
O,6,Carbonate,347,,12,,
O,6,Porites rus,375,,28,,
O,6,Porites cylindrica,385,,10,,
O,6,Porites rus,392,,7,,
O,6,Porites cylindrica,406,,14,,
O,6,Porites rus,419,,13,,
O,6,Porites cylindrica,438,,19,,
O,6,Porites rus,468,,30,,
O,6,Porites cylindrica,472,,4,,
O,6,Porites rus,484,,12,,
O,6,Porites cylindrica,490,,6,,
O,6,Porites rus,502,,12,,
O,6,Carbonate,505,,3,,
O,6,Porites rus,525,,20,,
O,6,Carbonate,534,,9,,
O,6,Porites rus,550,,16,,
O,6,Porites cylindrica,565,,15,,
O,6,Carbonate,603,,38,,
O,6,Porites rus,704,,101,,
O,6,Carbonate,715,,11,,
O,6,Porites rus,732,,17,,
O,6,Carbonate,745,,13,,
O,6,Porites rus,753,,8,,
O,6,Carbonate,765,,12,,
O,6,Porites rus,785,,20,,
O,6,Carbonate,825,,40,,
O,6,Porites cylindrica,837,,12,,
O,6,Carbonate,865,,28,,
O,6,Porites cylindrica,872,,7,,
O,6,Carbonate,895,,23,,
O,6,Porites cylindrica,963,,68,,
O,6,Porites rus,985,,22,,
O,6,Carbonate,989,,4,,
O,6,Porites rus,1000,,11,,
G,1,Carbonate,14,9.8,14,,
G,1,Montipora encrusting,24,,10,,
G,1,Coralline algae,35,,11,,
G,1,Carbonate,41,,6,,
G,1,Coralline algae,54,,13,,
G,1,Montipora encrusting,67,,13,,
G,1,Coralline algae,71,,4,,
G,1,Carbonate,78,,7,,
G,1,Coralline algae,94,,16,,
G,1,Montipora encrusting,103,,9,,
G,1,Coralline algae Lithothamnion,117,,14,,
G,1,Montipora encrusting,175,,58,,
G,1,Carbonate,182,,7,,
G,1,Montipora encrusting,203,,21,,
G,1,Carbonate,212,,9,,
G,1,Montipora encrusting,235,,23,,
G,1,Carbonate,241,,6,,
G,1,Montipora encrusting,243,,2,,
G,1,Carbonate,250,,7,,
G,1,Montipora encrusting,265,,15,,
G,1,Coralline algae,271,,6,,
G,1,Hydnophora microconus,274,,3,,
G,1,Carbonate,291,,17,,
G,1,Lithothamnion,295,,4,,
G,1,Carbonate,311,,16,,
G,1,Lithothamnion,305,,-6,,
G,1,Montipora encrusting,309,,4,,
G,1,Goniastrea retiformis,315,,6,,
G,1,Montipora encrusting,321,,6,,
G,1,Coralline algae,325,,4,,
G,1,Carbonate,329,,4,,
G,1,Montipora encrusting,335,,6,,
G,1,encrusting Sponge,341,,6,,
G,1,Coralline algae,345,,4,,
G,1,Montipora encrusting,352,,7,,
G,1,Carbonate,358,,6,,
G,1,encrusting Sponge,365,,7,,
G,1,Coralline algae,371,,6,,
G,1,Montipora encrusting,385,,14,,
G,1,Carbonate,415,,30,,
G,1,Macroalgae Turbinaria,421,,6,,
G,1,Carbonate,423,,2,,
G,1,Lithothamnion,424,,1,,
G,1,Montipora encrusting,435,,11,,
G,1,Carbonate,437,,2,,
G,1,Montipora encrusting,442,,5,,
G,1,Macroalgae Turbinaria,467,,25,,
G,1,Coralline algae,491,,24,,
G,1,Carbonate,510,,19,,
G,1,Coralline algae,525,,15,,
G,1,Carbonate,535,,10,,
G,1,Montipora encrusting,539,,4,,
