Site,Transect,Species,cm,rugosity,Diff,COT
D,3,Leptoria phrygia,61,,19,
D,3,Carbonate,63,,2,
D,3,Favites pentagona,85,,22,
D,3,Coralline algae Porolithon,103,,18,
D,3,Coralline algae,115,,12,
D,3,Coralline algae Porolithon,122,,7,
D,3,Goniastrea retiformis,125,,3,
D,3,Coralline algae,153,,28,
D,3,Coralline algae Porolithon,175,,22,
D,3,Carbonate,212,,37,
D,3,Coralline algae Porolithon,225,,13,
D,3,Turbinaria reniformis,248,,23,
D,3,Carbonate,256,,8,
D,3,Turbinaria reniformis,265,,9,
D,3,Goniastrea retiformis,287,,22,
D,3,Coralline algae Porolithon,294,,7,
D,3,Goniastrea retiformis,297,,3,
D,3,Carbonate,350,,53,
D,3,Goniastrea retiformis,365,,15,
D,3,Coralline algae,387,,22,
D,3,Porites lichen,389,,2,
D,3,Coralline algae,395,,6,
D,3,Porites lichen,405,,10,
D,3,Carbonate,495,,90,
D,3,Montipora encrusting,502,,7,
D,3,Carbonate,522,,20,
D,3,Montipora encrusting,550,,28,
D,3,Porites lobata,615,,65,
D,3,Montipora encrusting,642,,27,
D,3,Carbonate,665,,23,
D,3,Montipora encrusting,685,,20,
D,3,Carbonate,727,,42,
D,3,Montipora encrusting,729,,2,
D,3,Carbonate,751,,22,
D,3,Goniastrea retiformis,765,,14,
D,3,Carbonate,810,,45,
D,3,Montipora encrusting,857,,47,
D,3,Carbonate,871,,14,
D,3,Montipora encrusting,893,,22,
D,3,Carbonate,904,,11,
D,3,Montipora encrusting,905,,1,
D,3,Carbonate,963,,58,
D,3,Coralline algae Porolithon,972,,9,
D,3,Carbonate,985,,13,
D,3,Montipora encrusting,1000,,15,
D,4,Montipora encrusting,29,8.9,29,
D,4,Carbonate,53,,24,
D,4,Montipora encrusting,62,,9,
D,4,Carbonate,70,,8,
D,4,Montipora encrusting,80,,10,
D,4,Porites rus,103,,23,
D,4,Goniastrea retiformis,108,,5,
D,4,Carbonate,125,,17,
D,4,Coralline algae Porolithon,137,,12,
D,4,Carbonate,165,,28,
D,4,Porites lichen,170,,5,
D,4,Carbonate,202,,32,
D,4,Coralline algae Porolithon,235,,33,
D,4,Carbonate,301,,66,
D,4,Porites lichen,315,,14,
D,4,Carbonate,317,,2,
D,4,Galaxea fascicularis,335,,18,
D,4,Carbonate,352,,17,
D,4,Coralline algae Porolithon,362,,10,
D,4,Porites lichen,365,,3,
D,4,Carbonate,392,,27,
D,4,Montipora encrusting,412,,20,
D,4,Carbonate,431,,19,
D,4,Cyphastrea chalcidicum,435,,4,
D,4,Porites lichen,441,,6,
D,4,Carbonate,465,,24,
D,4,Montipora encrusting,467,,2,
D,4,Carbonate,475,,8,
D,4,Acropora hyacinthus,479,,4,
D,4,Montipora encrusting,490,,11,
D,4,Carbonate,530,,40,
D,4,Goniastrea retiformis,540,,10,
D,4,Carbonate,552,,12,
D,4,Montipora encrusting,575,,23,
D,4,Carbonate,582,,7,
D,4,Montipora encrusting,595,,13,
D,4,Goniastrea retiformis,605,,10,
D,4,Favites pentagona,645,,40,
D,4,Carbonate,672,,27,
D,4,Montipora encrusting,696,,24,
D,4,Carbonate,697,,1,
D,4,Favites pentagona,703,,6,
D,4,Carbonate,715,,12,
D,4,Montipora encrusting,732,,17,
D,4,Carbonate,735,,3,
D,4,Galaxea fascicularis,743,,8,
D,4,Montipora encrusting,758,,15,
D,4,Carbonate,765,,7,
D,4,Montipora encrusting,792,,27,
D,4,Carbonate,797,,5,
D,4,Montipora encrusting,815,,18,
D,4,Carbonate,829,,14,
D,4,Porites rus,835,,6,
D,4,Carbonate,839,,4,
D,4,Montipora encrusting,845,,6,
D,4,Montipora encrusting,872,,27,
D,4,Carbonate,883,,11,
D,4,Coralline algae Porolithon,915,,32,
D,4,Montipora encrusting,965,,50,
D,4,Carbonate,1000,,35,
D,5,Carbonate,23,9.8,23,
D,5,Montipora encrusting,31,,8,
D,5,Sand and Rubble,47,,16,
D,5,Favites abdita,53,,6,
D,5,Carbonate,65,,12,
D,5,Porites lichen,87,,22,
D,5,Carbonate,115,,28,
D,5,Montipora encrusting,142,,27,
D,5,Carbonate,191,,49,
D,5,Montipora encrusting,202,,11,
D,5,Carbonate,215,,13,
D,5,Favites abdita,221,,6,
D,5,Carbonate,235,,14,
D,5,Montipora encrusting,241,,6,
D,5,Carbonate,297,,56,
D,5,Goniastrea retiformis,304,,7,
D,5,Carbonate,309,,5,
D,5,Goniastrea retiformis,312,,3,
D,5,Carbonate,315,,3,
D,5,Montipora encrusting,325,,10,
D,5,Carbonate,355,,30,
D,5,Montipora encrusting,372,,17,
D,5,Coralline algae Porolithon,385,,13,
D,5,Montipora encrusting,412,,27,
D,5,Carbonate,415,,3,
D,5,Montipora encrusting,445,,30,
D,5,Montipora encrusting,459,,14,
D,5,Sand and Rubble,482,,23,
D,5,Montipora encrusting,498,,16,
D,5,Carbonate,522,,24,
D,5,Montipora encrusting,555,,33,
D,5,Carbonate,573,,18,
D,5,Montipora encrusting,582,,9,
D,5,Pocillopora verrucosa,592,,10,
D,5,Carbonate,623,,31,
D,5,Montipora encrusting,627,,4,
D,5,Carbonate,642,,15,
D,5,Montipora encrusting,652,,10,
D,5,Carbonate,735,,83,
D,5,Heliopora coerulea,745,,10,
D,5,Carbonate,785,,40,
D,5,Galaxea fascicularis,795,,10,
D,5,Carbonate,815,,20,
D,5,Montipora encrusting,835,,20,
D,5,Carbonate,872,,37,
D,5,Montipora encrusting,880,,8,
D,5,Carbonate,887,,7,
D,5,Montipora encrusting,915,,28,
D,5,Carbonate,925,,10,
D,5,Macroalgae Dictyota,935,,10,
D,5,Carbonate,942,,7,
D,5,Montipora encrusting,978,,36,
D,5,Carbonate,1000,,22,
D,6,Carbonate,2,8.3,2,
D,6,Montipora encrusting,33,,31,
D,6,Carbonate,35,,2,
D,6,Leptoria phrygia,43,,8,
D,6,Carbonate,72,,29,
D,6,Porites lichen,75,,3,
D,6,Coralline algae,105,,30,
D,6,Leptastrea purpurea,113,,8,
D,6,Coralline algae,127,,14,
D,6,Leptastrea purpurea,137,,10,
D,6,Carbonate,151,,14,
D,6,Leptastrea purpurea,153,,2,
D,6,Carbonate,170,,17,
D,6,Coralline algae,179,,9,
D,6,Carbonate,205,,26,
D,6,Favites pentagona,210,,5,
D,6,Coralline algae,251,,41,
D,6,Sponge,273,,22,
D,6,Carbonate,285,,12,
D,6,Leptoria phrygia,287,,2,
D,6,Carbonate,312,,25,
D,6,Montipora encrusting,321,,9,
D,6,Pocillopora verrucosa,335,,14,
D,6,Carbonate,425,,90,
D,6,Montipora encrusting,453,,28,
D,6,Coralline algae,474,,21,
D,6,Montipora encrusting,487,,13,
D,6,Carbonate,502,,15,
D,6,Sponge,506,,4,
D,6,Carbonate,521,,15,
D,6,Galaxea fascicularis,525,,4,
D,6,Carbonate,541,,16,
D,6,Pocillopora verrucosa,547,,6,
D,6,Carbonate,567,,20,
D,6,Coralline algae,575,,8,
D,6,Favites pentagona,592,,17,
D,6,Coralline algae,625,,33,
D,6,Coralline algae Porolithon,641,,16,
D,6,Coralline algae,665,,24,
D,6,Psammocora ,687,,22,
D,6,Carbonate,695,,8,
D,6,Porites lichen,712,,17,
D,6,Goniastrea retiformis,725,,13,
D,6,Coralline algae,745,,20,
D,6,Leptoria phrygia,748,,3,
D,6,Coralline algae Porolithon,761,,13,
D,6,Leptoria phrygia,765,,4,
D,6,Coralline algae Porolithon,775,,10,
D,6,Galaxea fascicularis,782,,7,
D,6,Montipora encrusting,795,,13,
D,6,Carbonate,865,,70,
D,6,Favites pentagona,882,,17,
D,6,Coralline algae,921,,39,
D,6,Goniastrea retiformis,925,,4,
D,6,Psammocora ,962,,37,
D,6,Carbonate,972,,10,
D,6,Cyphastrea chalcidicum,973,,1,
D,6,Carbonate,1000,,27,
E,1,Coralline algae,28,8.2,28,
E,1,Montipora encrusting,31,,3,
E,1,Coralline algae,32,,1,
E,1,Porites lichen,46,,14,
E,1,Coralline algae,52,,6,
E,1,Carbonate,63,,11,
E,1,Porites rus,67,,4,
E,1,Carbonate,84,,17,
E,1,Porites lichen,85,,1,
E,1,Carbonate,98,,13,
E,1,Pocillopora eydouxi,105,,7,
E,1,Montipora encrusting,112,,7,
E,1,Montipora encrusting,139,,27,
E,1,Goniastrea retiformis,145,,6,
E,1,Carbonate,205,,60,
E,1,Dead Acropora,265,,60,
E,1,Carbonate,282,,17,
E,1,Dead Acropora,315,,33,
E,1,Dead Acropora,325,,10,
E,1,Coralline algae,328,,3,
E,1,Porites lichen,340,,12,
E,1,Montipora encrusting,351,,11,
E,1,Coralline algae,372,,21,
E,1,Montipora encrusting,387,,15,
E,1,Coralline algae,402,,15,
E,1,Carbonate,441,,39,
E,1,Montipora encrusting,462,,21,
E,1,Carbonate,473,,11,
E,1,Montipora encrusting,490,,17,
E,1,Carbonate,495,,5,
E,1,Porites lichen,512,,17,
E,1,Porites lobata,515,,3,
E,1,Dead Acropora,532,,17,
E,1,Coralline algae,545,,13,
E,1,Carbonate,553,,8,
E,1,Porites lichen,562,,9,
E,1,Montipora encrusting,577,,15,
E,1,Dead Acropora,585,,8,
E,1,Montipora encrusting,595,,10,
E,1,Porites lichen,607,,12,
E,1,Dead Acropora,635,,28,
E,1,Carbonate,645,,10,
E,1,Porites lichen,652,,7,
E,1,Montipora encrusting,675,,23,
E,1,Carbonate,683,,8,
E,1,Montipora encrusting,714,,31,
E,1,Coralline algae,719,,5,
E,1,Carbonate,763,,44,
E,1,Porites lichen,771,,8,
E,1,Coralline algae Porolithon,778,,7,
E,1,Coralline algae,784,,6,
E,1,Porites lichen,795,,11,
E,1,Coralline algae,800,,5,
E,1,Carbonate,810,,10,
E,1,Porites lichen,849,,39,
E,1,Carbonate,872,,23,
E,1,Montipora encrusting,923,,51,
E,1,Porites lichen,957,,34,
E,1,Carbonate,1000,,43,
E,2,Carbonate,2,8.3,2,
E,2,Montipora encrusting,26,,24,
E,2,Coralline algae,34,,8,
E,2,Montipora encrusting,47,,13,
E,2,Coralline algae,110,,63,
E,2,Carbonate,145,,35,
E,2,Coralline algae,172,,27,
E,2,Porites encrusting,183,,11,
E,2,Carbonate,191,,8,
E,2,Goniastrea retiformis,195,,4,
E,2,Coralline algae,212,,17,
E,2,Carbonate,255,,43,
E,2,Montipora encrusting,263,,8,
E,2,Cliona boring sponge,295,,32,
E,2,Carbonate,302,,7,
E,2,Porites encrusting,312,,10,
E,2,Carbonate,402,,90,
E,2,Coralline algae,415,,13,
E,2,Carbonate,475,,60,
E,2,Montipora encrusting,492,,17,
E,2,Carbonate,501,,9,
E,2,Montipora encrusting,507,,6,
E,2,Carbonate,525,,18,
E,2,Montipora encrusting,547,,22,
E,2,Carbonate,556,,9,
E,2,Montipora encrusting,563,,7,
E,2,Carbonate,565,,2,
E,2,Porites lichen,575,,10,
E,2,Carbonate,612,,37,
E,2,Porites lichen,625,,13,
E,2,Carbonate,645,,20,
E,2,Millepora exesa,685,,40,
E,2,Carbonate,693,,8,
E,2,Porites lichen,695,,2,
E,2,Carbonate,699,,4,
E,2,Montipora encrusting,707,,8,
E,2,Carbonate,780,,73,
E,2,Dead Acropora,789,,9,
E,2,Carbonate,792,,3,
E,2,Porites lichen,803,,11,
E,2,Montipora encrusting,842,,39,
E,2,Pocillopora eydouxi,860,,18,
E,2,Carbonate,891,,31,
E,2,Porites lichen,921,,30,
E,2,Carbonate,928,,7,
E,2,Montipora encrusting,945,,17,
E,2,Carbonate,1000,,55,
E,3,Pocillopora eydouxi,32,8.3,32,
E,3,Coralline algae,41,,9,
E,3,Montipora encrusting,58,,17,
E,3,Carbonate,132,,74,
E,3,Montipora encrusting,140,,8,
E,3,Coralline algae,153,,13,
E,3,Porites encrusting,155,,2,
E,3,Coralline algae,172,,17,
E,3,Montipora encrusting,195,,23,
E,3,Dead Acropora,203,,8,
E,3,Coralline algae,226,,23,
E,3,Montipora encrusting,241,,15,
E,3,Montipora encrusting,271,,30,
E,3,Sand and Rubble,295,,24,
E,3,Carbonate,373,,78,
E,3,Porites lichen,380,,7,
E,3,Dead Acropora,412,,32,
E,3,Carbonate,425,,13,
E,3,Dead Acropora,440,,15,
E,3,Montipora encrusting,475,,35,
E,3,Carbonate,483,,8,
E,3,Goniastrea retiformis,492,,9,
E,3,Carbonate,513,,21,
E,3,Coralline algae,521,,8,
E,3,Carbonate,535,,14,
E,3,Goniastrea retiformis,545,,10,
E,3,Porites lichen,555,,10,
E,3,Carbonate,557,,2,
E,3,Leptoria phrygia,567,,10,
E,3,Sand and Rubble,570,,3,
E,3,Porites lichen,572,,2,
E,3,Coralline algae,612,,40,
E,3,Porites rus,620,,8,
E,3,Carbonate,647,,27,
E,3,Montipora encrusting,655,,8,
E,3,Carbonate,668,,13,
E,3,Montipora encrusting,683,,15,
E,3,Carbonate,691,,8,
E,3,Montipora encrusting,693,,2,
E,3,Porites lichen,695,,2,
E,3,Carbonate,712,,17,
E,3,Montipora encrusting,740,,28,
E,3,Carbonate,752,,12,
E,3,Coralline algae,793,,41,
E,3,Montipora encrusting,805,,12,
E,3,Coralline algae,812,,7,
E,3,Montipora encrusting,819,,7,
E,3,Millepora exesa,822,,3,
E,3,Sand and Rubble,852,,30,
E,3,Carbonate,920,,68,
E,3,Porites lichen,927,,7,
E,3,Coralline algae,937,,10,
E,3,Favites pentagona,945,,8,
E,3,Coralline algae,964,,19,
E,3,Porites lichen,981,,17,
E,3,Carbonate,987,,6,
E,3,Porites lichen,1000,,13,
E,4,Montipora encrusting,15,9.4,15,
E,4,Carbonate,29,,14,
E,4,Montipora encrusting,42,,13,
E,4,Carbonate,45,,3,
E,4,Montipora encrusting,55,,10,
E,4,Carbonate,62,,7,
E,4,Montipora encrusting,65,,3,
E,4,Goniastrea retiformis,89,,24,
E,4,Carbonate,102,,13,
E,4,Montipora encrusting,105,,3,
E,4,Montipora encrusting,135,,30,
E,4,Sand and Rubble,139,,4,
E,4,Montipora encrusting,150,,11,
E,4,Montipora encrusting,192,,42,
E,4,Carbonate,195,,3,
E,4,Montipora encrusting,202,,7,
E,4,Goniastrea retiformis,213,,11,
E,4,Coralline algae,215,,2,
E,4,Goniastrea retiformis,225,,10,
E,4,Montipora encrusting,229,,4,
E,4,Goniastrea retiformis,236,,7,
E,4,Montipora encrusting,240,,4,
E,4,Favites pentagona,251,,11,
E,4,Coralline algae,276,,25,
E,4,Montipora encrusting,289,,13,
E,4,Coralline algae,315,,26,
E,4,Montipora encrusting,320,,5,
E,4,Dead Acropora,352,,32,
E,4,Carbonate,355,,3,
E,4,Montipora encrusting,374,,19,
E,4,Carbonate,391,,17,
E,4,Montipora encrusting,407,,16,
E,4,Carbonate,410,,3,
E,4,Montipora encrusting,431,,21,
E,4,Carbonate,445,,14,
E,4,Montipora encrusting,456,,11,
E,4,Carbonate,464,,8,
E,4,Montipora encrusting,472,,8,
E,4,Coralline algae,485,,13,
E,4,Montipora encrusting,495,,10,
E,4,Coralline algae,505,,10,
E,4,Montipora encrusting,515,,10,
E,4,Coralline algae,545,,30,
E,4,Montipora encrusting,552,,7,
E,4,Porites lichen,563,,11,
E,4,Carbonate,568,,5,
E,4,Porites lichen,575,,7,
E,4,Montipora encrusting,578,,3,
E,4,Porites lichen,587,,9,
E,4,Heliopora coerulea,603,,16,
E,4,Porites lichen,613,,10,
E,4,Carbonate,614,,1,
E,4,Montipora encrusting,630,,16,
E,4,Coralline algae,650,,20,
E,4,Dead Acropora,662,,12,
E,4,Montipora encrusting,685,,23,
E,4,Coralline algae,690,,5,
E,4,Montipora encrusting,712,,22,
E,4,Carbonate,745,,33,
E,4,Montipora encrusting,770,,25,
E,4,Montipora encrusting,795,,25,
E,4,Porites lichen,822,,27,
E,4,Sand and Rubble,840,,18,
E,4,Porites lichen,843,,3,
E,4,Carbonate,851,,8,
E,4,Porites lichen,865,,14,
E,4,Carbonate,875,,10,
E,4,Porites lobata,890,,15,
E,4,Carbonate,892,,2,
E,4,Montipora encrusting,911,,19,
E,4,Carbonate,920,,9,
E,4,Montipora encrusting,925,,5,
E,4,Dead Acropora,935,,10,
E,4,Porites lichen,951,,16,
E,4,Montipora encrusting,1000,,49,
E,5,Coralline algae,32,7.3,32,
E,5,Porites lichen,35,,3,
E,5,Coralline algae,39,,4,
E,5,Montipora encrusting,50,,11,
E,5,Coralline algae,62,,12,
E,5,Montipora encrusting,66,,4,
E,5,Carbonate,71,,5,
E,5,Montipora encrusting,80,,9,
E,5,Coralline algae,102,,22,
E,5,Montipora encrusting,107,,5,
E,5,Coralline algae,110,,3,
E,5,Montipora encrusting,121,,11,
E,5,Coralline algae,141,,20,
E,5,Montipora encrusting,152,,11,
E,5,Montipora encrusting,177,,25,
E,5,Carbonate,182,,5,
E,5,Montipora encrusting,185,,3,
E,5,Carbonate,188,,3,
E,5,Porites rus,192,,4,
E,5,Montipora encrusting,205,,13,
E,5,Carbonate,220,,15,
E,5,Montipora encrusting,227,,7,
E,5,Carbonate,235,,8,
E,5,Porites lichen,247,,12,
E,5,Porites lobata,273,,26,
E,5,Coralline algae,301,,28,
E,5,Montipora encrusting,305,,4,
E,5,Carbonate,315,,10,
E,5,Montipora encrusting,337,,22,
E,5,Coralline algae,352,,15,
E,5,Coralline algae Porolithon,365,,13,
E,5,Montipora encrusting,371,,6,
E,5,Carbonate,395,,24,
E,5,Porites lichen,402,,7,
E,5,Carbonate,410,,8,
E,5,Porites lichen,453,,43,
E,5,Coralline algae,462,,9,
E,5,Porites lichen,470,,8,
E,5,Montipora encrusting,485,,15,
E,5,Coralline algae,492,,7,
E,5,Porites lichen,504,,12,
E,5,Carbonate,512,,8,
E,5,Montipora encrusting,529,,17,
E,5,Millepora exesa,647,,118,
E,5,Coralline algae,651,,4,
E,5,Millepora exesa,712,,61,
E,5,Carbonate,767,,55,
E,5,Goniastrea retiformis,778,,11,
E,5,Carbonate,795,,17,
E,5,Montipora encrusting,817,,22,
E,5,Montipora encrusting,841,,24,
E,5,Coralline algae,851,,10,
E,5,Goniastrea retiformis,863,,12,
E,5,Coralline algae,875,,12,
E,5,Montipora encrusting,898,,23,
E,5,Coralline algae,921,,23,
E,5,Montipora encrusting,942,,21,
E,5,Coralline algae,951,,9,
E,5,Porites lichen,956,,5,
E,5,Coralline algae,973,,17,
E,5,Carbonate,1000,,27,
E,6,Coralline algae,22,7.9,22,
E,6,Sponge,25,,3,
E,6,Coralline algae Porolithon,27,,2,
E,6,Sponge,42,,15,
E,6,Coralline algae,73,,31,
E,6,Montipora encrusting,82,,9,
E,6,Montipora encrusting,97,,15,
E,6,Carbonate,111,,14,
E,6,Montipora encrusting,115,,4,
E,6,Montipora encrusting,125,,10,
E,6,Montipora encrusting,132,,7,
E,6,Carbonate,138,,6,
E,6,Porites lobata,165,,27,
E,6,Carbonate,204,,39,
E,6,Montipora encrusting,225,,21,
E,6,Carbonate,240,,15,
E,6,Acropora nasuta,253,,13,
E,6,Coralline algae,255,,2,
E,6,Porites lichen,272,,17,
E,6,Coralline algae,285,,13,
E,6,Montipora encrusting,295,,10,
E,6,Coralline algae,297,,2,
E,6,Montipora encrusting,325,,28,
E,6,Coralline algae,329,,4,
E,6,Montipora encrusting,385,,56,
E,6,Dead Acropora,397,,12,
E,6,Carbonate,403,,6,
E,6,Montipora encrusting,407,,4,
E,6,Montipora encrusting,415,,8,
E,6,Carbonate,418,,3,
E,6,Montipora encrusting,442,,24,
E,6,Carbonate,448,,6,
E,6,Pavona explanulata,451,,3,
E,6,Montipora encrusting,475,,24,
E,6,Heliopora coerulea,485,,10,
E,6,Coralline algae,494,,9,
E,6,Montipora encrusting,503,,9,
E,6,Favites pentagona,515,,12,
E,6,Dead Acropora,540,,25,
E,6,Carbonate,545,,5,
E,6,Dead Acropora,553,,8,
E,6,Dead Acropora,582,,29,
E,6,Porites lichen,591,,9,
E,6,Carbonate,598,,7,
E,6,Porites lichen,603,,5,
E,6,Carbonate,612,,9,
E,6,Goniastrea retiformis,625,,13,
E,6,Coralline algae,629,,4,
E,6,Goniastrea retiformis,667,,38,
E,6,Carbonate,672,,5,
E,6,Montipora encrusting,687,,15,
E,6,Porites lobata,691,,4,
E,6,Goniastrea retiformis,702,,11,
E,6,Coralline algae,705,,3,
E,6,Montipora encrusting,710,,5,
E,6,Porites lobata,715,,5,
E,6,Carbonate,725,,10,
E,6,Montipora encrusting,745,,20,
E,6,Coralline algae Porolithon,751,,6,
E,6,Carbonate,755,,4,
E,6,Goniastrea retiformis,765,,10,
E,6,Coralline algae Porolithon,772,,7,
E,6,Carbonate,792,,20,
E,6,Sand and Rubble,795,,3,
E,6,Carbonate,812,,17,
E,6,Montipora encrusting,825,,13,
E,6,Carbonate,835,,10,
E,6,Montipora encrusting,847,,12,
E,6,Carbonate,855,,8,
E,6,Montipora encrusting,875,,20,
E,6,Carbonate,877,,2,
E,6,Montipora encrusting,882,,5,
E,6,Carbonate,897,,15,
E,6,Montipora encrusting,915,,18,
E,6,Carbonate,919,,4,
E,6,Porites lobata,962,,43,
E,6,Montipora encrusting,995,,33,
E,6,Carbonate,1000,,5,
R,1,Goniastrea retiformis,8,9,8,1
R,1,Carbonate,41,,33,
R,1,Goniastrea retiformis,48,,7,
R,1,Acropora nasuta,58,,10,
R,1,Coralline algae,62,,4,
R,1,Goniastrea retiformis,85,,23,
R,1,Halimeda,95,,10,
R,1,Carbonate,135,,40,
R,1,Hydnophora microconus,142,,7,
R,1,Pocillopora verrucosa,147,,5,
R,1,Carbonate,175,,28,
R,1,Favites abdita,182,,7,
R,1,Platygyra sinensis,213,,31,
R,1,Coralline algae,234,,21,
R,1,Carbonate,241,,7,
R,1,Porites lichen,252,,11,
R,1,Carbonate,281,,29,
R,1,Coralline algae,291,,10,
R,1,Carbonate,312,,21,
R,1,Halimeda,328,,16,
R,1,Carbonate,343,,15,
R,1,Halimeda,356,,13,
R,1,Porites rus,390,,34,
R,1,Goniastrea retiformis,392,,2,
R,1,Carbonate,412,,20,
R,1,Goniastrea retiformis,421,,9,
R,1,Sponge encrusting,442,,21,
R,1,Carbonate,465,,23,
R,1,Favites abdita,483,,18,
R,1,Goniastrea australensis,485,,2,
R,1,Favites abdita,490,,5,
R,1,Carbonate,515,,25,
R,1,Goniastrea retiformis,518,,3,
R,1,Carbonate,573,,55,
R,1,Favites abdita,580,,7,
R,1,Coralline algae,592,,12,
R,1,Montipora encrusting,605,,13,
R,1,Macroalgae Amphiroa,612,,7,
R,1,Carbonate,630,,18,
R,1,Galaxea fascicularis,637,,7,
R,1,Sponge encrusting,641,,4,
R,1,Carbonate,671,,30,
R,1,Goniastrea retiformis,685,,14,
R,1,Goniastrea retiformis,702,,17,
R,1,Porites rus,721,,19,
R,1,Carbonate,725,,4,
R,1,Goniastrea retiformis,750,,25,
R,1,Porites rus,755,,5,
R,1,Carbonate,762,,7,
R,1,Coralline algae,775,,13,
R,1,Favites abdita,785,,10,
R,1,Sponge encrusting,795,,10,
R,1,Carbonate,802,,7,
R,1,Goniastrea retiformis,820,,18,
R,1,Halimeda,835,,15,
R,1,Coralline algae,841,,6,
R,1,Galaxea fascicularis,847,,6,
R,1,Carbonate,852,,5,
R,1,Astrea stelligera,856,,4,
R,1,Carbonate,873,,17,
R,1,Sponge encrusting,901,,28,
R,1,Goniastrea retiformis,920,,19,
R,1,Carbonate,925,,5,
R,1,Leptoria phrygia,931,,6,
R,1,Carbonate,945,,14,
R,1,Galaxea fascicularis,948,,3,
R,1,Carbonate,965,,17,
R,1,Porites lichen,973,,8,
R,1,Favites pentagona,1000,,27,
R,2,Carbonate,19,8,19,1
R,2,Halimeda,29,,10,
R,2,Carbonate,42,,13,
R,2,Halimeda,45,,3,
R,2,Coralline algae,50,,5,
R,2,Favites pentagona,55,,5,
R,2,Coralline algae,85,,30,
R,2,Carbonate,121,,36,
R,2,Hydnophora microconus,155,,34,
R,2,Carbonate,151,,-4,
R,2,Goniastrea retiformis,152,,1,
R,2,Carbonate,165,,13,
R,2,Goniastrea retiformis,173,,8,
R,2,Carbonate,182,,9,
R,2,Favites pentagona,192,,10,
R,2,Carbonate,235,,43,
R,2,Macroalgae Amphiroa,237,,2,
R,2,Porites rus,247,,10,
R,2,Carbonate,291,,44,
R,2,Heliopora coerulea,312,,21,
R,2,Carbonate,325,,13,
R,2,Halimeda,328,,3,
R,2,Dead Acropora,347,,19,
R,2,Sponge,350,,3,
R,2,Carbonate,395,,45,
R,2,Porites rus,421,,26,
R,2,Carbonate,430,,9,
R,2,Goniastrea retiformis,435,,5,
R,2,Carbonate,437,,2,
R,2,Goniastrea retiformis,440,,3,
R,2,Carbonate,461,,21,
R,2,Acropora recruit,467,,6,
R,2,Carbonate,496,,29,
R,2,Heliopora coerulea,502,,6,
R,2,Carbonate,512,,10,
R,2,Leptoria phrygia,517,,5,
R,2,Porites rus,535,,18,
R,2,Carbonate,536,,1,
R,2,Porites rus,552,,16,
R,2,Carbonate,575,,23,
R,2,Goniastrea retiformis,602,,27,
R,2,Carbonate,625,,23,
R,2,Goniastrea retiformis,631,,6,
R,2,Carbonate,636,,5,
R,2,Platygyra daedalea,639,,3,
R,2,Carbonate,642,,3,
R,2,Porites lichen,645,,3,
R,2,Carbonate,672,,27,
R,2,Dead Acropora,685,,13,
R,2,Heliopora coerulea,703,,18,
R,2,Carbonate,753,,50,
R,2,Coralline algae,764,,11,
R,2,Porites lichen,784,,20,
R,2,Carbonate,792,,8,
R,2,Dead Acropora,804,,12,
R,2,Carbonate,825,,21,
R,2,Goniastrea retiformis,841,,16,
R,2,Carbonate,852,,11,
R,2,Montipora encrusting,883,,31,
R,2,Porites rus,895,,12,
R,2,Carbonate,905,,10,
R,2,Porites lichen,909,,4,
R,2,Carbonate,1000,,91,
R,3,Montipora encrusting,11,8.3,11,1
R,3,Coralline algae,45,,34,
R,3,Goniastrea retiformis,52,,7,
R,3,Leptoria phrygia,61,,9,
R,3,Hydnophora microconus,85,,24,
R,3,Coralline algae,87,,2,
R,3,Porites lobata,92,,5,
R,3,Goniastrea retiformis,103,,11,
R,3,Coralline algae,112,,9,
R,3,Porites lichen,114,,2,
R,3,Coralline algae,137,,23,
R,3,Favites abdita,138,,1,
R,3,Carbonate,165,,27,
R,3,Galaxea fascicularis,167,,2,
R,3,Hydnophora microconus,175,,8,
R,3,Galaxea fascicularis,205,,30,
R,3,Acropora recruit,209,,4,
R,3,Carbonate,255,,46,
R,3,Goniastrea retiformis,262,,7,
R,3,Coralline algae,275,,13,
R,3,Heliopora coerulea,276,,1,
R,3,Coralline algae,295,,19,
R,3,Porites lichen,302,,7,
R,3,Montipora encrusting,310,,8,
R,3,Coralline algae,312,,2,
R,3,Galaxea fascicularis,321,,9,
R,3,Carbonate,345,,24,
R,3,Galaxea fascicularis,348,,3,
R,3,Coralline algae,372,,24,
R,3,Acropora recruit,374,,2,
R,3,Montipora encrusting,377,,3,
R,3,Carbonate,395,,18,
R,3,Coralline algae,405,,10,
R,3,Montipora encrusting,412,,7,
R,3,Carbonate,452,,40,
R,3,Coralline algae,475,,23,
R,3,Porites lichen,483,,8,
R,3,Halimeda,485,,2,
R,3,Carbonate,510,,25,
R,3,Coralline algae,532,,22,
R,3,Dead Acropora,544,,12,
R,3,Goniastrea retiformis,552,,8,
R,3,Carbonate,565,,13,
R,3,Goniastrea retiformis,571,,6,
R,3,Montipora encrusting,613,,42,
R,3,Coralline algae,638,,25,
R,3,Porites lichen,642,,4,
R,3,Coralline algae,683,,41,
R,3,Montipora encrusting,717,,34,
R,3,Carbonate,735,,18,
R,3,Porites lichen,740,,5,
R,3,Carbonate,755,,15,
R,3,Heliopora coerulea,784,,29,
R,3,Favites pentagona,807,,23,
R,3,Carbonate,820,,13,
R,3,Goniastrea retiformis,822,,2,
